"Event id";"Date and time";IP;"Camp. ID";Offer;"Flow ID";"Landing page";"Affiliate Network";Source;"Country flag";State/region;City;"OS Logo";Browser;"Connection type";"Device type";"Device model";Bot;"UC (campaign)";"Event type";X-Requested-With;Referrer;"Search engine";"External ID";"Mobile operator";ISP;Country;Language;"User agent";"OS Logo";"OS version";Revenue
019cd2a2-31d1-7010-bee7-048db25d54cc;"2026-03-09 12:46:01";122.150.154.234;92;;284;;;Facebook.com;AU;"New South Wales";Sydney;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMzUwNjg1NTMxNzI4AAEeE21sAzseUYMmzj9q1QlM7J4755jxKU9TMpczDIxPY1dSDUUQPc4pGZdhiZaY_aem_oK_swvCYBbgWIIRz0yBM0g;Unknown;Vocus;Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd2a1-b78f-73ff-bd19-597100692cda;"2026-03-09 12:45:37";124.149.182.137;92;;284;;;Facebook.com;AU;"New South Wales";Gosford;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsa8x5pzcnRjBmFwcF9pZA8NTY3MDY3MzQzMzUyNDI3AAFeXxyfS1pzbHuw0rqsbLHkWWpgnNIfp9SLJ9GcYfVsVcczj01sxhGRpE_aem_Xt_SrSw2B-mbU7Dvp6ljiA;Unknown;"iiNET Limited";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd2a1-b78e-7291-91b3-dbd96af1b1eb;"2026-03-09 12:45:24";115.129.147.179;92;;284;;;Facebook.com;AU;Victoria;Ballarat;Android;"Chrome Mobile";Cellular;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeH1-3LVnGmjmz_zY1Trs46sYuJuzUlKlfvHtSZQa_COjVFMpTbbRLQdwCw12n_aem_D8p5uovCQuZXMWEAr_QQiQ;"Vodafone Australia";"TPG Internet Pty Ltd";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd2a0-ff3f-70b5-a365-16d8b5159680;"2026-03-09 12:44:47";49.186.157.241;92;;284;;;Facebook.com;AU;"New South Wales";Sydney;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsbcXYpzcnRjBmFwcF9pZA8OTY2MjQyMjIzMzk3MTE3AASP-wAAYkFfequXblPDCEK-FRyMttFNY_27iToeFcYYcxeKNvglKXeWLe_aem_ptD-_CYH881nvGBH7RqcGg;Unknown;"SingTel Optus Pty Ltd";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd2a0-433b-720c-a8dc-5b7b95c065df;"2026-03-09 12:43:59";120.88.117.232;92;;284;;;Facebook.com;AU;Queensland;Brisbane;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsbKXCpzcnRjBmFwcF9pZA8MjU0NTUzODIyMzk3MTE3AA8deit4dXP3bwat276WOCy6wzpaz4BcX0OHNQOMsq3Lo5kwL04nrbV_A3_aem_owYMcBDgZKh7q6vGALVaQQ;Unknown;"Aussie Broadband";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd29e-d3a6-73ee-a10d-85d67aa20f54;"2026-03-09 12:42:26";123.208.227.214;92;;284;;;Facebook.com;AU;"South Australia";Adelaide;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsLEFipzcnRjBmFwcF9pZA8MTI0MDI0NTc0Mjg3NDE0AAq_eyUG5x6n5iNNDMbXUmbpLrcrt9PIonx-bdn4kWEiREZvCS4VYqx9yN_aem_993xov7N36sZ6cJhKKZw8g;Unknown;"Telstra Internet";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd29e-1bd0-7296-8fd9-8e12c4c92ffe;"2026-03-09 12:41:34";103.137.12.78;92;;284;;;Facebook.com;AU;Queensland;Brisbane;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsa8x5pzcnRjBmFwcF9pZA8NTY3MDY3MzQzMzUyNDI3AApcL4x8CvddHu1hYNnspNH5wzEZ060Cjg75Zyr-HqzoJpDIluG6NoJSop_aem_DuppWhu-fvaG-kHbFeRCzA;Unknown;"Streamline Servers Pty Ltd - Brisbane";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36";Android;10;0
019cd29d-a111-734d-9168-fa701b65794a;"2026-03-09 12:41:00";122.150.156.178;92;;284;;;Facebook.com;AU;"New South Wales";Sydney;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsa8x5pzcnRjBmFwcF9pZA8NTY3MDY3MzQzMzUyNDI3AAWtGdSkCfwWBkrVE_FFxSvREUTUYDLePoXX4pirzkncywYK2_aswSxvOS_aem_qQ704SKAYx9sZjkePhCE6w;Unknown;Vocus;Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36";Android;10;0
019cd29d-63a2-7341-8fe9-709feb9a4f62;"2026-03-09 12:40:52";180.150.55.154;92;;284;;;Facebook.com;AU;Victoria;Melbourne;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEey_vn_88XoueekgloVz0T5TsMV8pLtSArQ0tYXuc1SgsRe5US2CZpWmq30ui9_aem_k4oSkA8x67oCbRUesQlyUQ;Unknown;"Aussie Broadband";Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36";Android;10;0
019cd29c-e927-73bb-a6ba-3b79580dd0c4;"2026-03-09 12:40:11";103.106.88.146;92;;284;;;Facebook.com;AU;"Western Australia";Perth;Android;"Chrome Mobile";WiFi;"Mobile phone";;;1;click;;;;IwZXh0bgNhZW0BMABhZGlkAasvNsNsbcXYpzcnRjBmFwcF9pZA8MTI0MDI0NTc0Mjg3NDE0AAoP4X4pAYvh3Co4CZtad_c8zcfOeBp7lOiDFJvyULkgQQ8qCsCUrEN5t6_aem_52e2SGVdb9icenJsDNvkKg;Unknown;Leaptel;Australia;English;"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36";Android;10;0
